player,position,injury_date,games_missed,body_part,site,condition
Daniel Jones,QB,2020-12-16,1,Thigh,Hamstring,Strain
Evan Engram,TE,2020-12-18,0,Leg,Calf,Pull
Terry McLaurin,WR,2020-12-20,1,Pedal,Ankle (high),Sprain
Alexander Mattison,RB,2020-12-20,1,Head,Cranial,Concussion
Marquise Brown,WR,2020-12-24,0,Knee,Patella,Sprain
Matthew Stafford,QB,2020-12-26,0,Pedal,Ankle,Sprain\/Pull Unspecified
Brandon Aiyuk,WR,2020-12-26,1,Pedal,Ankle (high),Sprain
Jared Goff,QB,2020-12-27,1,Hand,Thumb,Fracture
Michael Pittman Jr.,WR,2020-12-27,0,Head,Cranial,Concussion
Dallas Goedert,TE,2020-12-27,1,Leg,Calf,Strain
Tyreek Hill,WR,2020-12-30,1,Thigh,Hamstring,Strain
Miles Sanders,RB,2020-12-31,1,Knee,Patella,Sprain
James Conner,RB,2021-01-01,0,Back,Lower Lumbar,Sprain
Tee Higgins,WR,2021-01-03,0,Thigh,Hamstring,Strain
Mike Evans,WR,2021-01-03,0,Knee,Unspecified,Strain
Darnell Mooney,WR,2021-01-03,1,Pedal,Ankle,Sprain
Austin Ekeler,RB,2021-01-03,0,Head,Cranial,Concussion
Stefon Diggs,WR,2021-01-05,0,Abdomen,Muscle,Tear
Cooper Kupp,WR,2021-01-09,1,Knee,Unspecified,Bruise
Taysom Hill,TE,2021-01-13,1,Knee,Patella,Sprain
Lamar Jackson,QB,2021-01-16,0,Head,Cranial,Concussion
Patrick Mahomes,QB,2021-01-17,0,Head,Cranial,Concussion
Patrick Mahomes,QB,2021-01-17,0,Pedal,Toe,Turf Toe
Aaron Jones,RB,2021-01-24,0,Chest,Rib,Sprain\/Pull Unspecified
James Conner,RB,2021-04-12,0,Pedal,Toe,Turf Toe
Curtis Samuel,WR,2021-06-02,3,Inguinal,Groin,Strain
Trevor Lawrence,QB,2021-06-14,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Jonnu Smith,TE,2021-06-14,0,Thigh,Hamstring,Strain
Dak Prescott,QB,2021-07-28,0,Shoulder,Unspecified,Unspecified
Marquise Brown,WR,2021-07-29,0,Thigh,Hamstring,Strain
DeVonta Smith,WR,2021-07-31,0,Knee,MCL,Sprain
Matthew Stafford,QB,2021-08-02,0,Hand,Thumb,Sprain
D\u0027Andre Swift,RB,2021-08-04,0,Inguinal,Groin,Strain
Darren Waller,TE,2021-08-04,0,Pedal,Ankle,Sprain\/Pull Unspecified
Justin Jefferson,WR,2021-08-06,0,Shoulder,A\/C Joint,Sprain
Hunter Henry,TE,2021-08-08,0,Shoulder,Unspecified,Unspecified
Hunter Long,TE,2021-08-08,0,Knee,ACL,Sprain
Stefon Diggs,WR,2021-08-09,0,Knee,Patella,Sprain
Aaron Jones,RB,2021-08-09,0,Thigh,Hamstring,Sprain\/Pull Unspecified
T.J. Hockenson,TE,2021-08-10,0,Shoulder,A\/C Joint,Sprain
Rashod Bateman,WR,2021-08-10,5,Inguinal,Groin,Strain
Dalton Schultz,TE,2021-08-11,0,Pedal,Ankle,Sprain
Marcus Mariota,QB,2021-08-12,0,Leg,Quad,Strain
Jordan Love,QB,2021-08-14,0,Shoulder,Unspecified,Unspecified
Geno Smith,QB,2021-08-14,0,Head,Cranial,Concussion
Justice Hill,RB,2021-08-14,0,Pedal,Ankle,Sprain\/Pull Unspecified
